image_path,label,label_id,split,site,mineral,source
images/non-minerals/Glass_404.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/Central_Equatoria/chalcopyrite/00534000017684106462831.jpg,mineral,1,train,Central_Equatoria,chalcopyrite,field_mineral
images/Central_Equatoria/hematite/02894490017695584155029.jpg,mineral,1,train,Central_Equatoria,hematite,field_mineral
images/non-minerals/Plastic_420.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/Central_Equatoria/chalcopyrite/03541620017686622515094.jpg,mineral,1,train,Central_Equatoria,chalcopyrite,field_mineral
images/Central_Equatoria/chalcopyrite/05134050017688444699161.jpg,mineral,1,train,Central_Equatoria,chalcopyrite,field_mineral
images/Central_Equatoria/hematite/09074020017695641795661.jpg,mineral,1,train,Central_Equatoria,hematite,field_mineral
images/Kapoeta_East/hematite/01429650017674838148837.jpg,mineral,1,train,Kapoeta_East,hematite,field_mineral
images/non-minerals/Miscellaneous Trash_305.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/Kapoeta_East/hematite/09436530017689449148446.jpg,mineral,1,train,Kapoeta_East,hematite,field_mineral
images/Kapoeta_East/chalcopyrite/07856420017683351034611.jpg,mineral,1,train,Kapoeta_East,chalcopyrite,field_mineral
images/Kapoeta_East/hematite/00023390017679535185844.jpg,mineral,1,train,Kapoeta_East,hematite,field_mineral
images/non-minerals/Cardboard_353.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/non-minerals/Plastic_290.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/non-minerals/Metal_267.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/non-minerals/Glass_21.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/non-minerals/computer-and-electronic-waste-picture-id486948220.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/non-minerals/Textile Trash_113.jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/Central_Equatoria/gold/04347250017672931915777.jpg,mineral,1,train,Central_Equatoria,gold,field_mineral
images/non-minerals/wood (212).jpg,non_mineral,0,train,non-minerals,,non_mineral_collection
images/Kapoeta_East/gold/02838510017579390864894.jpg,mineral,1,train,Kapoeta_East,gold,field_mineral
images/Kapoeta_East/hematite/00061590017682943039097.jpg,mineral,1,train,Kapoeta_East,hematite,field_mineral
images/Kapoeta_East/hematite/04660280017680531934985.jpg,mineral,1,train,Kapoeta_East,hematite,field_mineral
images/Kapoeta_East/chalcopyrite/00275920017667737987257.jpg,mineral,1,train,Kapoeta_East,chalcopyrite,field_mineral
images/Kapoeta_East/gold/09498070017633747638391.jpg,mineral,1,train,Kapoeta_East,gold,field_mineral
images/Kapoeta_East/gold/02130040017555323137357.jpg,mineral,1,train,Kapoeta_East,gold,field_mineral
images/Central_Equatoria/gold/09933260017687243119939.jpg,mineral,1,train,Central_Equatoria,gold,field_mineral
images/Kapoeta_East/hematite/07204960017685692918411.jpg,mineral,1,train,Kapoeta_East,hematite,field_mineral
images/Central_Equatoria/chalcopyrite/05950530017686381031516.jpg,mineral,1,train,Central_Equatoria,chalcopyrite,field_mineral
images/Central_Equatoria/gold/01469190017640943987789.jpg,mineral,1,train,Central_Equatoria,gold,field_mineral
